ID Código Material Técnica Sexo Dibujado Artefacto_(s) Cantidad Dibujado_(s) Sexo_2 Elementos_adicionales_1 2 3 4 5 6 Tocado Elementos_de_la_cara_1 Elementos_de_la_cara_2 Elementos_de_las_orejas_1 Elementos_de_las_orejas_2 Elementos_de_cuello_y_pecho_1 Elementos_de_cuello_y_pecho_2 Elementos_de_cuello_y_pecho_3 Cinturones
109 MO_O02036-1 tumbaga plana no_tiene si si 3 si no_tiene N/A N/A N/A N/A N/A N/A colmena indeterminado N/A N/A N/A N/A N/A N/A un_hilo
110 MO_O02039-1 tumbaga plana indeterminado si si 2 si indeterminado N/A N/A N/A N/A N/A N/A no_tiene N/A N/A N/A N/A placa_de_hilo N/A N/A dos_hilos
111 MO_O02040-1 oro plana indeterminado si si 4 si indeterminado cabeza N/A N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A hilo_con_relieve N/A N/A adicionales
112 MO_O02048-1 tumbaga semi_plana indeterminado si si 5 si indeterminado flecha mochila mochila ni_idea N/A N/A cilíndrico N/A N/A N/A N/A N/A N/A N/A N/A
113 MO_O02051-1 cobre plana masculino si si 6 si masculino_con_gonadas_hacia_arriba macana recipiente N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A placa_maciza N/A N/A un_hilo
114 MO_O02053-1 tumbaga plana no_tiene si si 2 si no_tiene N/A N/A N/A N/A N/A N/A rectangular N/A N/A N/A N/A N/A N/A N/A un_hilo
115 MO_O02054-1 tumbaga plana femenino si si 4 si femenino_herradura_hacia_abajo macana argollas_en_brazos N/A N/A N/A N/A con_adornos N/A N/A N/A N/A placa_de_hilo N/A N/A N/A
116 MO_O02055-1 oro plana no_tiene si si 4 si no_tiene ni_idea mochila N/A N/A N/A N/A rectangular N/A N/A N/A N/A N/A N/A N/A un_hilo
117 MO_O02056-1 tumbaga plana indeterminado si si 4 si indeterminado pájaros ni_idea N/A N/A N/A N/A rectangular N/A N/A N/A N/A N/A N/A N/A un_hilo
118 MO_O02058-1 tumbaga plana masculino si si 5 si masculino_con_gonadas_hacia_arriba mochila pájaros N/A N/A N/A N/A con_adornos N/A N/A N/A N/A collar_largo N/A N/A un_hilo
119 MO_O02059-1 tumbaga plana masculino si si 3 si masculino_con_gonadas_hacia_abajo mochila N/A N/A N/A N/A N/A con_adornos N/A N/A N/A N/A N/A N/A N/A dos_hilos
120 MO_O02060-1 oro semi_plana no_tiene si si 4 si no_tiene N/A N/A N/A N/A N/A N/A cilíndrico N/A N/A N/A N/A hilo_con_colgantes inidentificable N/A un_hilo
121 MO_O02061-1 tumbaga figurilla indeterminado si si 2 si indeterminado bastones_diversos N/A N/A N/A N/A N/A cilíndrico N/A N/A N/A N/A N/A N/A N/A N/A
122 MO_O02062-1 oro semi_plana masculino si si 4 si masculino_con_gonadas_hacia_abajo poporo dos_palitos N/A N/A N/A N/A irregular N/A N/A N/A N/A N/A N/A N/A adicionales
123 MO_O02064-1 cobre plana no_tiene si si 2 si no_tiene N/A N/A N/A N/A N/A N/A rectangular N/A N/A N/A N/A N/A N/A N/A un_hilo
124 MO_O02065-1 cobre plana masculino si si 3 si masculino_sin_gonadas_hacia_abajo bastones_diversos N/A N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A placa_de_hilo N/A N/A N/A
125 MO_O02067-1 tumbaga plana no_tiene si si 3 si no_tiene mochila N/A N/A N/A N/A N/A con_adornos N/A N/A N/A N/A placa_de_hilo N/A N/A N/A
126 MO_O02068-1 oro plana masculino si si 2 si masculino_con_gonadas_hacia_arriba bastones_diversos N/A N/A N/A N/A N/A triangular N/A N/A N/A N/A N/A N/A N/A N/A
127 MO_O02271-1 oro plana masculino si si 1 no masculino_con_gonadas_hacia_arriba N/A N/A N/A N/A N/A N/A no_tiene N/A N/A N/A N/A N/A N/A N/A un_hilo
128 MO_O02273-1 tumbaga semi_plana indeterminado si si 3 si indeterminado pájaros propulsor N/A N/A N/A N/A colmena N/A N/A N/A N/A N/A N/A N/A N/A
129 MO_O02274-1 oro semi_plana indeterminado si si 4 si indeterminado propulsor macana N/A N/A N/A N/A colmena N/A N/A N/A N/A N/A N/A N/A un_hilo
130 MO_O02275-1 tumbaga plana indeterminado si si 4 si indeterminado un_palito dos_palitos N/A N/A N/A N/A cilíndrico N/A N/A N/A N/A placa_maciza N/A N/A N/A
131 MO_O02310-1 cobre plana femenino si si 2 si femenino_herradura_hacia_abajo N/A N/A N/A N/A N/A N/A rectangular N/A N/A N/A N/A N/A N/A N/A un_hilo
132 MO_O03045-1 tumbaga con_nucleo ambos si si 4 si ambos_sexos N/A N/A N/A N/A N/A N/A cilíndrico nariguera_argolla_simple N/A N/A N/A inidentificable N/A N/A un_hilo
133 MO_O03047-1 tumbaga plana ambos si si 4 si ambos_sexos N/A N/A N/A N/A N/A N/A alas N/A N/A N/A N/A collar_de_1_o_2_vueltas doble_canana N/A hojas
134 MO_O03048-1 tumbaga plana masculino si si 4 si masculino_con_gonadas_hacia_arriba mochila N/A N/A N/A N/A N/A rectangular N/A N/A N/A N/A con_dije N/A N/A un_hilo
135 MO_O03049-1 oro plana femenino si si 2 si femenino_herradura_hacia_abajo N/A N/A N/A N/A N/A N/A rectangular N/A N/A N/A N/A collar_de_1_o_2_vueltas N/A N/A N/A
136 MO_O03053-1 oro plana no_tiene si si 3 si no_tiene pájaros N/A N/A N/A N/A N/A rectangular N/A N/A N/A N/A N/A N/A N/A adicionales
137 MO_O03054-1 tumbaga plana femenino si si 2 si femenino_herradura_hacia_abajo N/A N/A N/A N/A N/A N/A semi_ovalo N/A N/A N/A N/A placa_espiral N/A N/A N/A
138 MO_O03055-1 oro plana masculino si si 3 si masculino_con_gonadas_hacia_arriba bastones_diversos N/A N/A N/A N/A N/A púas N/A N/A N/A N/A hilo_con_colgantes N/A N/A N/A
